FEN,firstMove,secondMove, whoFirst
r2qk2r/ppp2p1p/n2b1np1/3pp3/4P1b1/1PNB1Q1N/PBPP1PPP/R3K2R, Qe3, d4, white
r1b2rk1/pp1pbppp/2p2n2/8/4P3/q1NB2Q1/P1PB1PPP/1R2R1K1, Bd6, e5, black
r1b2rk1/pp2bppp/4q3/4p3/3pQ3/P2P3P/1PPBBPP1/R3K2R, Bg4, f5, white
r1b2rk1/ppp3bp/2n1p1p1/3p1n2/2PP1P1q/PP2P2N/4K1P1/RNBQ1B1R, Nf2, Ng3+, white
2k2r2/6q1/1Pp4p/Q2b1p2/3p3B/5PP1/4r2P/2R3K1, Bxf3, Qa8+, white
r2qk2r/ppp2p1p/n2b1np1/3pp3/4P1b1/1PNB1Q1N/PBPP1PPP/R3K2R, Qe3, d4, white
r1b2rk1/pp1pbppp/2p2n2/8/4P3/q1NB2Q1/P1PB1PPP/1R2R1K1, Bd6, e5, black
r1b2rk1/pp2bppp/4q3/4p3/3pQ3/P2P3P/1PPBBPP1/R3K2R, Bg4, f5, white
r1b2rk1/ppp3bp/2n1p1p1/3p1n2/2PP1P1q/PP2P2N/4K1P1/RNBQ1B1R, Nf2, Ng3+, white
2k2r2/6q1/1Pp4p/Q2b1p2/3p3B/5PP1/4r2P/2R3K1, Bxf3, Qa8+, white
r2qk2r/ppp2p1p/n2b1np1/3pp3/4P1b1/1PNB1Q1N/PBPP1PPP/R3K2R, Qe3, d4, white
r1b2rk1/pp1pbppp/2p2n2/8/4P3/q1NB2Q1/P1PB1PPP/1R2R1K1, Bd6, e5, black
r1b2rk1/pp2bppp/4q3/4p3/3pQ3/P2P3P/1PPBBPP1/R3K2R, Bg4, f5, white
r1b2rk1/ppp3bp/2n1p1p1/3p1n2/2PP1P1q/PP2P2N/4K1P1/RNBQ1B1R, Nf2, Ng3+, white
2k2r2/6q1/1Pp4p/Q2b1p2/3p3B/5PP1/4r2P/2R3K1, Bxf3, Qa8+, white
8/pp1kbpRp/3p1p2/8/5P2/4BK1P/q7/3R4, Rxh7, Qc2, white
2kr3r/ppp2ppp/3p1q2/2b1p1N1/2PnP1b1/3P4/PP1Q1PPP/R1B1KB1R, b4, Bxb4, white
r2qkbnr/ppp2ppp/2npb3/8/3PPp2/1B3N2/PPP3PP/RNBQK2R, g5, d5, black
r4rk1/pbpn1ppp/1p1b1q1n/3pP3/3P1B2/2P3P1/PP1N1PBP/R2QR1K1, Nxe5, dxe5, white
6k1/1r6/b1p2pp1/3N4/6qP/PB1P4/1P1B4/2KR3R, Rxb3, Nxf6+, white
r1b2rk1/pppp1pp1/2n3np/2q1P3/1b2Q3/2NBBN2/PPP2PPP/2KR3R, Qe7, Nd5, black
